timestamp_utc,host,online,latency_ms,players_online,players_max
2026-09-19T00:47:18+00:00,mc.originsrebirth.com,True,54.72,26,50
2026-09-19T01:54:10+00:00,mc.originsrebirth.com,True,56.46,28,50
2026-09-19T05:31:02+00:00,mc.originsrebirth.com,True,53.43,12,50
2026-09-19T06:14:05+00:00,mc.originsrebirth.com,True,23.26,10,50
2026-09-19T11:10:21+00:00,mc.originsrebirth.com,True,22.4,11,50
2026-09-19T14:27:41+00:00,mc.originsrebirth.com,True,56.06,19,50
2026-09-19T17:24:01+00:00,mc.originsrebirth.com,True,69.94,32,50
2026-09-19T19:30:29+00:00,mc.originsrebirth.com,True,22.43,23,50
2026-09-19T21:42:51+00:00,mc.originsrebirth.com,True,39.26,29,50
2026-09-19T23:37:48+00:00,mc.originsrebirth.com,True,32.1,23,50
2026-09-20T01:40:32+00:00,mc.originsrebirth.com,True,76.62,17,50
2026-09-20T07:04:28+00:00,mc.originsrebirth.com,True,38.26,15,50
2026-09-20T12:18:19+00:00,mc.originsrebirth.com,True,51.54,15,50
2026-09-20T16:18:54+00:00,mc.originsrebirth.com,True,22.75,33,50
2026-09-20T18:55:48+00:00,mc.originsrebirth.com,True,56.91,36,50
2026-09-20T21:24:58+00:00,mc.originsrebirth.com,True,52.13,28,50
2026-09-20T23:24:16+00:00,mc.originsrebirth.com,True,77.01,24,50
2026-09-21T01:25:55+00:00,mc.originsrebirth.com,True,48.44,17,50
2026-09-21T06:58:54+00:00,mc.originsrebirth.com,True,66.22,9,50
2026-09-21T13:57:34+00:00,mc.originsrebirth.com,True,22.39,10,50
2026-09-21T19:17:49+00:00,mc.originsrebirth.com,True,66.78,27,50
2026-09-21T22:38:49+00:00,mc.originsrebirth.com,True,55.86,20,50
2026-09-22T01:12:05+00:00,mc.originsrebirth.com,True,36.72,17,50
2026-09-22T06:19:24+00:00,mc.originsrebirth.com,True,60.26,11,50
2026-09-22T11:54:33+00:00,mc.originsrebirth.com,True,56.86,11,50
2026-09-22T16:37:33+00:00,mc.originsrebirth.com,True,48.56,20,50
2026-09-22T19:53:20+00:00,mc.originsrebirth.com,True,19.93,9,50
2026-09-22T22:46:41+00:00,mc.originsrebirth.com,True,53.37,18,50
2026-09-23T00:59:12+00:00,mc.originsrebirth.com,True,52.37,23,50
2026-09-23T05:51:52+00:00,mc.originsrebirth.com,True,59.6,11,50
2026-09-23T10:45:15+00:00,mc.originsrebirth.com,True,69.33,6,50
2026-09-23T15:12:19+00:00,mc.originsrebirth.com,True,30.09,10,50
2026-09-23T19:06:22+00:00,mc.originsrebirth.com,True,29.62,11,50
2026-09-23T22:16:32+00:00,mc.originsrebirth.com,True,27.56,19,50
2026-09-24T00:36:13+00:00,mc.originsrebirth.com,True,39.98,26,50
2026-09-24T05:26:27+00:00,mc.originsrebirth.com,True,56.98,11,50
2026-09-24T10:26:55+00:00,mc.originsrebirth.com,True,19.97,4,50
2026-09-24T15:28:01+00:00,mc.originsrebirth.com,True,56.12,13,50
2026-09-24T19:28:17+00:00,mc.originsrebirth.com,True,27.67,16,50
